ElapsedTime(s),Battery(%)
120.998,87.5724
121.098,87.5757
121.198,87.579
121.298,87.5823
121.398,87.5856
121.498,87.5889
121.598,87.5922
121.698,87.5955
121.798,87.5989
121.898,87.6022
121.998,87.6055
122.098,87.6088
122.198,87.6121
122.298,87.6154
122.398,87.6187
122.498,87.622
122.598,87.6253
122.698,87.6285
122.798,87.6318
122.898,87.6351
122.998,87.6384
123.098,87.6417
123.198,87.645
123.298,87.6483
123.398,87.6516
123.498,87.6549
123.598,87.6582
123.698,87.6615
123.798,87.6648
123.898,87.6681
123.998,87.6715
124.098,87.6748
124.198,87.6781
124.298,87.6814
124.398,87.6847
124.498,87.688
124.598,87.6913
124.698,87.6946
124.798,87.6979
124.898,87.7012
124.998,87.7045
125.098,87.7078
125.198,87.7111
125.298,87.7145
125.398,87.7178
125.498,87.7211
125.598,87.7244
125.698,87.7277
125.798,87.731
125.898,87.7343
125.998,87.7376
126.099,87.7409
126.198,87.7442
126.298,87.7475
126.398,87.7508
126.498,87.7541
126.598,87.7575
126.698,87.7608
126.798,87.7641
126.898,87.7674
126.998,87.7707
127.098,87.774
127.198,87.7773
127.298,87.7806
127.398,87.7839
127.498,87.7872
127.598,87.7905
127.698,87.7938
127.798,87.7971
127.898,87.8005
127.998,87.8038
128.098,87.8071
128.198,87.8104
128.298,87.8137
128.398,87.817
128.498,87.8203
128.598,87.8236
128.698,87.8269
128.798,87.8302
128.898,87.8335
128.998,87.8368
129.098,87.8401
129.198,87.8434
129.298,87.8468
129.398,87.8501
129.498,87.8534
129.598,87.8567
129.698,87.86
129.798,87.8633
129.898,87.8666
129.998,87.8699
130.098,87.8732
130.198,87.8765
130.298,87.8798
130.398,87.8831
130.498,87.8864
130.598,87.8898
130.698,87.8931
130.798,87.8964
130.898,87.8997
130.998,87.903
131.098,87.9063
131.198,87.9096
131.298,87.9129
131.398,87.9162
131.498,87.9195
131.598,87.9228
131.698,87.9261
131.798,87.9294
131.898,87.9328
131.998,87.9361
132.098,87.9394
132.198,87.9427
132.298,87.946
132.398,87.9493
132.498,87.9526
132.598,87.9559
132.698,87.9592
132.798,87.9625
132.898,87.9658
132.998,87.9691
133.098,87.9724
133.198,87.9757
133.298,87.9791
133.398,87.9824
133.498,87.9857
133.598,87.989
133.698,87.9923
133.798,87.9956
133.898,87.9989
133.998,88.0022
134.098,88.0055
134.198,88.0088
134.298,88.0121
134.398,88.0154
134.498,88.0187
134.598,88.022
134.698,88.0254
134.798,88.0287
134.898,88.032
134.998,88.0353
135.098,88.0386
135.198,88.0419
135.298,88.0452
135.398,88.0485
135.498,88.0518
135.598,88.0551
135.698,88.0584
135.798,88.0617
135.898,88.065
135.998,88.0684
