Accumulated Time [min],Battery [%],Work Count [times]
4.11904,92.8759,1
4.12071,92.873,1
4.12238,92.8701,1
4.12404,92.8672,1
4.12572,92.8644,1
4.12738,92.8615,1
4.12905,92.8588,1
4.13071,92.8559,1
4.13238,92.853,1
4.13405,92.8501,1
4.13572,92.8473,1
4.13738,92.8444,1
4.13905,92.8415,1
4.14072,92.8386,1
4.14238,92.8358,1
4.14405,92.8329,1
4.14571,92.83,1
4.14738,92.8273,1
4.14904,92.8244,1
4.15072,92.8215,1
4.15238,92.8186,1
4.15404,92.8158,1
5.15506,91.1213,2
5.15506,91.1184,2
5.15506,91.1155,2
5.15506,91.1126,2
5.15506,91.1098,2
5.15507,91.1069,2
5.15507,91.104,2
5.15507,91.1011,2
5.15507,91.0983,2
5.15507,91.0954,2
5.15571,91.0925,2
5.15738,91.0896,2
5.15904,91.0869,2
5.16071,91.084,2
5.16238,91.0811,2
5.16404,91.0783,2
5.16571,91.0754,2
5.16738,91.0727,2
5.16905,91.0698,2
5.17071,91.0669,2
5.17238,91.064,2
5.17404,91.0612,2
5.17571,91.0584,2
5.17738,91.0556,2
5.17904,91.0527,2
5.18071,91.0498,2
5.18238,91.0469,2
5.18404,91.0441,2
5.18571,91.0412,2
5.18738,91.0383,2
5.18905,91.0354,2
5.19071,91.0325,2
5.19238,91.0297,2
5.19404,91.0268,2
5.19571,91.0239,2
5.19738,91.021,2
5.19904,91.0182,2
5.20071,91.0153,2
5.20238,91.0124,2
5.20404,91.0095,2
5.20571,91.0067,2
5.20738,91.0038,2
5.20904,91.0009,2
5.21071,90.998,2
5.21238,90.9952,2
5.21404,90.9923,2
5.21571,90.9894,2
5.21738,90.9865,2
5.21904,90.9837,2
5.22071,90.9808,2
5.22238,90.9779,2
5.22405,90.975,2
5.22571,90.9722,2
5.22738,90.9693,2
5.22905,90.9664,2
5.23071,90.9635,2
5.23238,90.9607,2
5.23405,90.9578,2
5.23571,90.9549,2
5.23738,90.952,2
5.23904,90.9492,2
5.24071,90.9463,2
5.24238,90.9434,2
5.24404,90.9405,2
5.24571,90.9376,2
5.24738,90.9348,2
5.24905,90.9319,2
5.25071,90.929,2
5.25238,90.9261,2
5.25404,90.9233,2
5.25571,90.9204,2
5.25738,90.9177,2
5.25904,90.9148,2
5.26071,90.912,2
5.26238,90.9092,2
5.26405,90.9063,2
5.26571,90.9034,2
5.26738,90.9005,2
5.26905,90.8977,2
5.27071,90.8948,2
5.27238,90.8921,2
5.27404,90.8892,2
5.27571,90.8863,2
5.27738,90.8834,2
5.27904,90.8806,2
5.28071,90.8777,2
5.28238,90.8748,2
5.28404,90.8719,2
5.28571,90.869,2
5.28738,90.8662,2
5.28905,90.8634,2
5.29071,90.8606,2
5.29238,90.8577,2
5.29404,90.8548,2
5.29571,90.8519,2
5.29738,90.8491,2
5.29904,90.8462,2
5.30071,90.8433,2
5.30238,90.8404,2
5.30404,90.8376,2
5.30571,90.8347,2
5.30738,90.8318,2
5.30904,90.8289,2
5.31071,90.8261,2
5.31238,90.8232,2
5.31404,90.8204,2
5.31571,90.8176,2
5.31738,90.8147,2
5.31904,90.8118,2
5.32071,90.8089,2
5.32238,90.8061,2
5.32404,90.8032,2
5.32571,90.8003,2
5.32738,90.7974,2
5.32905,90.7946,2
5.33071,90.7917,2
5.33238,90.7888,2
5.33404,90.7859,2
5.33571,90.7831,2
5.33738,90.7802,2
5.33904,90.7773,2
5.34071,90.7744,2
5.34238,90.7716,2
5.34404,90.7687,2
5.34571,90.7658,2
5.34738,90.7629,2
5.34905,90.7601,2
5.35071,90.7572,2
5.35238,90.7544,2
5.35404,90.7516,2
5.35571,90.7487,2
5.35738,90.7458,2
5.35904,90.7429,2
5.36071,90.7401,2
5.36238,90.7372,2
5.36404,90.7343,2
5.36571,90.7314,2
5.36738,90.7286,2
5.36904,90.7257,2
5.37071,90.7228,2
5.37238,90.7199,2
5.37404,90.7171,2
5.37572,90.7142,2
5.37738,90.7113,2
5.37904,90.7084,2
5.38071,90.7056,2
5.38238,90.7028,2
5.38404,90.6999,2
5.38571,90.6971,2
5.38738,90.6942,2
5.38905,90.6913,2
5.39071,90.6884,2
5.39238,90.6856,2
5.39404,90.6827,2
5.39571,90.6798,2
5.39738,90.6769,2
5.39904,90.6741,2
5.40071,90.6712,2
5.40238,90.6683,2
5.40404,90.6654,2
5.40571,90.6626,2
5.40738,90.6597,2
5.40905,90.6568,2
5.41071,90.6539,2
5.41238,90.6511,2
5.41404,90.6482,2
5.41571,90.6453,2
5.41738,90.6426,2
5.41904,90.6397,2
5.42071,90.6368,2
5.42238,90.6339,2
5.42404,90.6311,2
5.42571,90.6282,2
5.42738,90.6253,2
5.42905,90.6224,2
5.43071,90.6196,2
5.43238,90.6167,2
5.43404,90.6138,2
5.43572,90.6109,2
5.43738,90.6081,2
5.43904,90.6052,2
5.44071,90.6023,2
5.44238,90.5994,2
5.44404,90.5966,2
5.44571,90.5937,2
5.44738,90.5909,2
5.44904,90.5881,2
5.45071,90.5852,2
5.45238,90.5823,2
5.45404,90.5794,2
5.45571,90.5767,2
5.45738,90.5738,2
5.45904,90.571,2
5.46071,90.5681,2
5.46238,90.5652,2
5.46404,90.5623,2
5.46571,90.5595,2
5.46738,90.5566,2
5.46904,90.5537,2
5.47071,90.5508,2
5.47238,90.548,2
5.47404,90.5451,2
5.47571,90.5422,2
5.47738,90.5393,2
5.47904,90.5364,2
5.48071,90.5336,2
5.48238,90.5307,2
5.48404,90.5278,2
5.48571,90.5249,2
5.48738,90.5221,2
5.48905,90.5192,2
5.49072,90.5163,2
5.49238,90.5134,2
5.49404,90.5106,2
5.49571,90.5077,2
5.49738,90.5048,2
5.49905,90.5019,2
5.50071,90.4991,2
5.50238,90.4962,2
5.50404,90.4933,2
5.50571,90.4904,2
5.50738,90.4876,2
5.50905,90.4848,2
5.51071,90.482,2
5.51238,90.4791,2
5.51405,90.4762,2
5.51571,90.4733,2
5.51738,90.4705,2
5.51904,90.4676,2
5.52071,90.4647,2
5.52238,90.4618,2
5.52404,90.4591,2
6.52441,88.7637,2
6.52441,88.7608,2
6.52441,88.758,2
6.52442,88.7551,2
6.52442,88.7522,2
6.52442,88.7493,2
6.52442,88.7465,2
6.52442,88.7436,2
6.52442,88.7407,2
6.52442,88.7378,2
6.52571,88.735,2
6.52738,88.7321,2
6.52905,88.7294,2
6.53071,88.7265,2
6.53238,88.7236,2
6.53404,88.7207,2
6.53571,88.7178,2
6.53738,88.715,2
6.53904,88.7121,2
6.54071,88.7092,2
6.54238,88.7063,2
6.54405,88.7035,2
6.54571,88.7006,2
6.54738,88.6977,2
6.54905,88.6948,2
6.55071,88.692,2
6.55238,88.6891,2
6.55404,88.6862,2
6.55571,88.6833,2
6.55738,88.6805,2
6.55904,88.6776,2
6.56071,88.6747,2
6.56238,88.6718,2
6.56404,88.669,2
6.56571,88.6661,2
6.56738,88.6632,2
6.56905,88.6603,2
6.57071,88.6575,2
6.57238,88.6546,2
6.57405,88.6517,2
6.57571,88.6488,2
6.57738,88.646,2
6.57904,88.6431,2
6.58071,88.6402,2
6.58238,88.6373,2
6.58404,88.6345,2
6.58571,88.6316,2
6.58738,88.6287,2
6.58904,88.6258,2
6.59072,88.6231,2
6.59238,88.6202,2
6.59404,88.6173,2
6.59571,88.6145,2
6.59738,88.6116,2
6.59904,88.6087,2
6.60071,88.6058,2
6.60238,88.603,2
6.60404,88.6001,2
6.60571,88.5972,2
6.60738,88.5945,2
6.60904,88.5916,2
6.61072,88.5887,2
6.61238,88.5857,2
6.61404,88.5828,2
6.61572,88.58,2
6.61738,88.5771,2
6.61904,88.5742,2
6.62071,88.5713,2
6.62238,88.5685,2
6.62405,88.5656,2
6.62572,88.5627,2
6.62741,88.5598,2
6.62906,88.5569,2
6.63072,88.5541,2
6.63238,88.5512,2
6.63405,88.5483,2
6.63571,88.5454,2
6.63738,88.5426,2
6.63904,88.5397,2
6.64071,88.537,2
6.64238,88.5341,2
6.64404,88.5312,2
6.64571,88.5283,2
6.64738,88.5255,2
6.64905,88.5226,2
6.65071,88.5197,2
6.65238,88.5168,2
6.65404,88.5139,2
6.65571,88.5111,2
6.65738,88.5082,2
6.65904,88.5053,2
6.66071,88.5024,2
6.66238,88.4996,2
6.66404,88.4967,2
6.66571,88.4938,2
6.66738,88.4909,2
6.66904,88.4881,2
6.67071,88.4852,2
6.67238,88.4823,2
6.67404,88.4794,2
6.67571,88.4766,2
6.67738,88.4737,2
