Accumulated Time [min],Battery [%],Work Count [times]
6.57086,88.6821,2
6.57252,88.6793,2
6.57418,88.6764,2
6.57585,88.6737,2
6.57752,88.6708,2
6.57918,88.668,2
6.58085,88.6651,2
6.58252,88.6622,2
6.58418,88.6593,2
6.58585,88.6565,2
6.58752,88.6536,2
6.58918,88.6507,2
6.59086,88.6478,2
6.59252,88.6449,2
6.59418,88.6421,2
6.59585,88.6392,2
6.59752,88.6363,2
6.59918,88.6334,2
6.60085,88.6306,2
6.60252,88.6277,2
6.60419,88.6248,2
6.60585,88.6221,2
6.60752,88.6192,2
6.60918,88.6163,2
6.61085,88.6135,2
6.61252,88.6106,2
6.61418,88.6077,2
6.61585,88.6048,2
6.61752,88.602,2
6.61918,88.5991,2
6.62085,88.5963,2
6.62252,88.5935,2
6.62419,88.5906,2
6.62585,88.5877,2
6.62752,88.5848,2
6.62919,88.582,2
6.63085,88.5791,2
6.63252,88.5764,2
6.63418,88.5735,2
6.63585,88.5706,2
6.63752,88.5677,2
6.63918,88.5648,2
6.64085,88.562,2
6.64252,88.5591,2
6.64418,88.5562,2
6.64585,88.5533,2
6.64752,88.5505,2
6.64918,88.5476,2
6.65086,88.5447,2
6.65252,88.5418,2
6.65418,88.539,2
6.65585,88.5361,2
6.65752,88.5332,2
6.65918,88.5303,2
6.66085,88.5275,2
6.66252,88.5246,2
6.66419,88.5219,2
6.66585,88.5191,2
6.66752,88.5163,2
6.66919,88.5134,2
6.67085,88.5105,2
6.67252,88.5076,2
6.67419,88.5047,2
6.67585,88.5019,2
6.67752,88.499,2
6.67918,88.4961,2
6.68085,88.4932,2
6.68252,88.4904,2
6.68419,88.4875,2
6.68585,88.4846,2
6.68752,88.4819,2
6.68918,88.479,2
6.69086,88.4761,2
6.69252,88.4733,2
6.69419,88.4704,2
6.69585,88.4675,2
6.69752,88.4646,2
6.69919,88.4618,2
6.70085,88.4589,2
6.70252,88.456,2
6.70419,88.4531,2
6.70585,88.4502,2
6.70752,88.4474,2
6.70918,88.4445,2
6.71086,88.4416,2
6.71252,88.4387,2
6.71418,88.4359,2
6.71585,88.433,2
6.71752,88.4301,2
6.71918,88.4272,2
6.72085,88.4244,2
6.72252,88.4215,2
6.72419,88.4186,2
6.72585,88.4157,2
6.72752,88.4129,2
6.72918,88.41,2
6.73086,88.4071,2
6.73252,88.4042,2
6.73418,88.4014,2
6.73585,88.3985,2
6.73752,88.3956,2
6.73918,88.3929,2
6.74085,88.39,2
6.74252,88.3873,2
6.74419,88.3844,2
6.74585,88.3815,2
6.74752,88.3786,2
6.74919,88.3758,2
6.75085,88.3729,2
6.75252,88.37,2
6.75418,88.3671,2
6.75585,88.3643,2
6.75752,88.3614,2
6.75918,88.3585,2
6.76085,88.3556,2
6.76252,88.3528,2
6.76419,88.3499,2
6.76585,88.347,2
6.76752,88.3441,2
6.76918,88.3412,2
6.77085,88.3385,2
6.77252,88.3356,2
6.77419,88.3329,2
6.77585,88.33,2
6.77752,88.3272,2
6.77919,88.3243,2
6.78086,88.3214,2
6.78252,88.3185,2
6.78419,88.3157,2
6.78586,88.3128,2
6.78752,88.3099,2
6.78918,88.307,2
6.79085,88.3044,2
6.79252,88.3017,2
6.79419,88.2988,2
6.79585,88.296,2
6.79752,88.2931,2
6.79918,88.2902,2
6.80085,88.2873,2
6.80252,88.2844,2
6.80419,88.2816,2
6.80586,88.2787,2
6.80752,88.2758,2
6.80918,88.2729,2
6.81086,88.2701,2
6.81252,88.2672,2
6.81418,88.2643,2
6.81585,88.2614,2
6.81752,88.2586,2
6.81918,88.2557,2
6.82085,88.2528,2
6.82252,88.2499,2
6.82419,88.2471,2
6.82586,88.2442,2
6.82752,88.2413,2
6.82919,88.2384,2
6.83085,88.2356,2
6.83252,88.2327,2
6.83418,88.2298,2
6.83585,88.2269,2
6.83752,88.2241,2
6.83919,88.2212,2
6.84085,88.2183,2
6.84252,88.2154,2
6.84419,88.2126,2
6.84585,88.2097,2
6.84752,88.2068,2
6.84918,88.2039,2
6.85085,88.201,2
6.85252,88.1982,2
6.85418,88.1953,2
6.85585,88.1924,2
